mercado,produto,nome,preco,link
Mercantil,arroz,Arroz Parboilizado Emoções Tipo2 1Kg,6.09,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Branco Emoções Tipo1 1Kg,6.29,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Parbolizado Tio Migote Tipo 2 1Kg,4.99,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Integral Urbano 1Kg,8.29,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Integral Emoções 1Kg,7.49,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Parboilizado Urbano Tipo1 1Kg,7.09,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Parboilizado Tio João Tipo1 1Kg,8.29,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Parboilizado Kilão 1Kg,5.29,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Tio João a Grega 250g,10.39,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Tio João Curry 250g,10.39,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Mercantil,arroz,Arroz Parboilizado Emoções Tipo2 1Kg,6.09,"https://www.mercantilatacado.com.br/arroz/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and"
Hiperideal,arroz,Arroz Parboilizado Tio Mingote Tp2 1kg ,5.29,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
Hiperideal,arroz,Arroz Branco Tio João Tp1 1kg ,7.99,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
Hiperideal,arroz,Arroz Branco Emoções Tp1 1kg ,6.59,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
Hiperideal,arroz,Arroz Integral Tio João Vermelho Tp1 500g ,19.89,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
Hiperideal,arroz,Arroz Parboilizado Tio João Tp1 1kg ,7.19,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
Hiperideal,arroz,Arroz Integral Parboilizado Emoções Tipo1 1kg ,7.99,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
Hiperideal,arroz,Arroz Branco Camil Tipo 1 1kg ,6.89,"https://www.hiperideal.com.br/arroz?_q=arroz&fuzzy=0&initialMap=ft&initialQuery=arroz&map=category-3,ft&operator=and&query=/arroz/arroz&searchState"
